q,snr_db,spacing_ghz,tolerance_linewidths,tolerance_pm,tolerance_degC,censored_lower_bound
3000,20.0,100.0,0.11585272681351753,59.85724218698407,0.8304854968710935,False
3000,25.0,100.0,0.23192872137978168,119.82983937955389,1.6625714794249584,False
3000,30.0,100.0,0.2708951200215438,139.96247867779766,1.941900501946551,False
3000,35.0,100.0,0.28468999744247697,147.08983201194644,2.0407885121324516,False
5200,20.0,100.0,0.3687337599721036,109.91102460706935,1.5249535151865328,False
5200,25.0,100.0,0.5544768534795811,165.27675440256746,2.293121809262122,False
5200,30.0,100.0,0.6671224782910697,198.85381564445348,2.7589846083170793,False
5200,35.0,100.0,0.7257930509065101,216.3421594048251,3.00162552070517,False
10000,20.0,100.0,0.42499199250151054,65.87375883773413,0.9139612741967968,False
10000,25.0,100.0,0.70580519608193,109.39980539269915,1.5178606367353333,False
10000,30.0,100.0,0.9917808099013817,153.72602553471418,2.132861956777165,False
10000,35.0,100.0,1.249995337448826,193.74927730456804,2.6881620160189805,False
15000,20.0,100.0,0.42897888435656567,44.32781805017845,0.61502349011694,False
15000,25.0,100.0,0.7200348550391618,74.40360168738005,1.0323080358984398,False
15000,30.0,100.0,1.0470437178006056,108.19451750606257,1.5011379466675348,False
15000,35.0,100.0,1.4239694067125868,147.14350536030062,2.041533199587938,False
