delta_t_degC,uncompensated_drift_nm,itio_gate_voltage_v,thermal_tuning_power_mw,residual_tolerance_nm_q5200_snr25,residual_tolerance_degC_q5200_snr25
0.0,0.0,0.0,0.0,0.16527675440256745,2.293121809262122
0.2,0.014415,0.024473684210526318,0.05766,0.16527675440256745,2.293121809262122
0.4,0.02883,0.048947368421052635,0.11532,0.16527675440256745,2.293121809262122
0.6000000000000001,0.043245000000000006,0.07342105263157896,0.17298000000000002,0.16527675440256745,2.293121809262122
0.8,0.05766,0.09789473684210527,0.23064,0.16527675440256745,2.293121809262122
1.0,0.072075,0.12236842105263158,0.2883,0.16527675440256745,2.293121809262122
1.2000000000000002,0.08649000000000001,0.1468421052631579,0.34596000000000005,0.16527675440256745,2.293121809262122
1.4000000000000001,0.10090500000000001,0.17131578947368423,0.40362000000000003,0.16527675440256745,2.293121809262122
1.6,0.11532,0.19578947368421054,0.46128,0.16527675440256745,2.293121809262122
1.8,0.12973500000000002,0.22026315789473688,0.5189400000000001,0.16527675440256745,2.293121809262122
2.0,0.14415,0.24473684210526317,0.5766,0.16527675440256745,2.293121809262122
2.2,0.158565,0.2692105263157895,0.63426,0.16527675440256745,2.293121809262122
2.4000000000000004,0.17298000000000002,0.2936842105263158,0.6919200000000001,0.16527675440256745,2.293121809262122
2.6,0.187395,0.31815789473684214,0.74958,0.16527675440256745,2.293121809262122
2.8000000000000003,0.20181000000000002,0.34263157894736845,0.8072400000000001,0.16527675440256745,2.293121809262122
3.0,0.216225,0.36710526315789477,0.8649,0.16527675440256745,2.293121809262122
3.2,0.23064,0.3915789473684211,0.92256,0.16527675440256745,2.293121809262122
3.4000000000000004,0.24505500000000002,0.41605263157894745,0.9802200000000001,0.16527675440256745,2.293121809262122
3.6,0.25947000000000003,0.44052631578947377,1.0378800000000001,0.16527675440256745,2.293121809262122
3.8000000000000003,0.27388500000000005,0.4650000000000001,1.0955400000000002,0.16527675440256745,2.293121809262122
4.0,0.2883,0.48947368421052634,1.1532,0.16527675440256745,2.293121809262122
4.2,0.302715,0.5139473684210527,1.21086,0.16527675440256745,2.293121809262122
4.4,0.31713,0.538421052631579,1.26852,0.16527675440256745,2.293121809262122
4.6000000000000005,0.33154500000000003,0.5628947368421053,1.3261800000000001,0.16527675440256745,2.293121809262122
4.800000000000001,0.34596000000000005,0.5873684210526317,1.3838400000000002,0.16527675440256745,2.293121809262122
5.0,0.360375,0.611842105263158,1.4415,0.16527675440256745,2.293121809262122
5.2,0.37479,0.6363157894736843,1.49916,0.16527675440256745,2.293121809262122
5.4,0.389205,0.6607894736842106,1.55682,0.16527675440256745,2.293121809262122
5.6000000000000005,0.40362000000000003,0.6852631578947369,1.6144800000000001,0.16527675440256745,2.293121809262122
5.800000000000001,0.41803500000000005,0.7097368421052632,1.6721400000000002,0.16527675440256745,2.293121809262122
6.0,0.43245,0.7342105263157895,1.7298,0.16527675440256745,2.293121809262122
6.2,0.446865,0.7586842105263158,1.78746,0.16527675440256745,2.293121809262122
6.4,0.46128,0.7831578947368422,1.84512,0.16527675440256745,2.293121809262122
6.6000000000000005,0.47569500000000003,0.8076315789473685,1.9027800000000001,0.16527675440256745,2.293121809262122
6.800000000000001,0.49011000000000005,0.8321052631578949,1.9604400000000002,0.16527675440256745,2.293121809262122
7.0,0.504525,0.8565789473684211,2.0181,0.16527675440256745,2.293121809262122
7.2,0.5189400000000001,0.8810526315789475,2.0757600000000003,0.16527675440256745,2.293121809262122
7.4,0.533355,0.9055263157894737,2.13342,0.16527675440256745,2.293121809262122
7.6000000000000005,0.5477700000000001,0.9300000000000002,2.1910800000000004,0.16527675440256745,2.293121809262122
7.800000000000001,0.562185,0.9544736842105265,2.24874,0.16527675440256745,2.293121809262122
8.0,0.5766,0.9789473684210527,2.3064,0.16527675440256745,2.293121809262122
8.200000000000001,0.5910150000000001,1.0034210526315792,2.3640600000000003,0.16527675440256745,2.293121809262122
8.4,0.60543,1.0278947368421054,2.42172,0.16527675440256745,2.293121809262122
8.6,0.619845,1.0523684210526316,2.47938,0.16527675440256745,2.293121809262122
