q,snr_db,spacing_ghz,tolerance_linewidths,tolerance_pm,tolerance_degC,censored_lower_bound
3000,20.0,50.0,0.0,0.0,0.0,False
3000,25.0,50.0,0.0,0.0,0.0,False
3000,30.0,50.0,0.0,0.0,0.0,False
3000,35.0,50.0,0.0,0.0,0.0,False
5200,20.0,50.0,0.0,0.0,0.0,False
5200,25.0,50.0,0.07074036815538341,21.086071277085438,0.2925573538270613,False
5200,30.0,50.0,0.12637327745632917,37.66895770332889,0.5226355560642233,False
5200,35.0,50.0,0.14103127716324196,42.03816915442789,0.5832559022466581,False
10000,20.0,50.0,0.35997867180158344,55.79669412924544,0.7741476812937278,False
10000,25.0,50.0,0.5370263664531006,83.2390868002306,1.154895411727098,False
10000,30.0,50.0,0.640732963260919,99.31360930544244,1.3779203510987506,False
10000,35.0,50.0,0.6933106676117453,107.46315347982052,1.4909906830360113,False
15000,20.0,50.0,0.41440284468956307,42.82162728458818,0.5941259422072588,False
15000,25.0,50.0,0.6697008967133292,69.20242599371068,0.960144654786135,False
15000,30.0,50.0,0.884937653449668,91.44355752313237,1.2687278185658324,False
15000,35.0,50.0,1.0347971791896904,106.92904184960133,1.483580185218194,False
3000,20.0,100.0,0.11585272681351753,59.85724218698407,0.8304854968710935,False
3000,25.0,100.0,0.23192872137978168,119.82983937955389,1.6625714794249584,False
3000,30.0,100.0,0.2708951200215438,139.96247867779766,1.941900501946551,False
3000,35.0,100.0,0.28468999744247697,147.08983201194644,2.0407885121324516,False
5200,20.0,100.0,0.3687337599721036,109.91102460706935,1.5249535151865328,False
5200,25.0,100.0,0.5544768534795811,165.27675440256746,2.293121809262122,False
5200,30.0,100.0,0.6671224782910697,198.85381564445348,2.7589846083170793,False
5200,35.0,100.0,0.7257930509065101,216.3421594048251,3.00162552070517,False
10000,20.0,100.0,0.42499199250151054,65.87375883773413,0.9139612741967968,False
10000,25.0,100.0,0.70580519608193,109.39980539269915,1.5178606367353333,False
10000,30.0,100.0,0.9917808099013817,153.72602553471418,2.132861956777165,False
10000,35.0,100.0,1.249995337448826,193.74927730456804,2.6881620160189805,False
15000,20.0,100.0,0.42897888435656567,44.32781805017845,0.61502349011694,False
15000,25.0,100.0,0.7200348550391618,74.40360168738005,1.0323080358984398,False
15000,30.0,100.0,1.0470437178006056,108.19451750606257,1.5011379466675348,False
15000,35.0,100.0,1.4239694067125868,147.14350536030062,2.041533199587938,False
3000,20.0,200.0,0.3933113335527591,203.21085566892555,2.8194360828154776,False
3000,25.0,200.0,0.6100535164111154,315.1943168124097,4.373143486818032,False
3000,30.0,200.0,0.7597809278511352,392.5534793897532,5.446458264165844,False
3000,35.0,200.0,0.846375546385699,437.2940322992779,6.0672082178186315,False
5200,20.0,200.0,0.42571954691152164,126.89717263708819,1.760626744878088,False
5200,25.0,200.0,0.7083568459267613,211.14482907432307,2.9295154918393767,False
5200,30.0,200.0,1.0011719372284447,298.42625052001716,4.140496018314494,False
5200,35.0,200.0,1.27437779990397,379.86261343291415,5.270379652208313,False
10000,20.0,200.0,0.42963588945324394,66.5935628652528,0.9239481493618149,False
10000,25.0,200.0,0.7223452860140583,111.96351933217905,1.5534307226108781,False
10000,30.0,200.0,1.0565502807463039,163.7652935156771,2.2721511413899007,False
10000,35.0,200.0,1.4639080681647838,226.9057505655415,3.148189393902761,False
15000,20.0,200.0,0.4298773446741019,44.420658949657195,0.6163116052675296,False
15000,25.0,200.0,0.7231728385134433,74.72785997972248,1.0368069369368362,False
15000,30.0,200.0,1.0599066581669712,109.52368801058702,1.5195794382322168,False
15000,35.0,200.0,1.4783629164029886,152.7641680283088,2.1195167260257897,False
